year,reporting_entity,facility_name,facility_type,state,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,grid_connected,primary_fuel,important_notes,controlling_corporation
2021,CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,11889.0,3303.0,2402.0,0.0,2402.0,0.73,Off,Diesel,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Sandstone Town Powerstation,F,WA,2349.0,652.0,511.0,0.0,511.0,0.78,Off,Diesel,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Wiluna Town Powerstation,F,WA,8508.0,2364.0,1667.0,0.0,1667.0,0.71,Off,Diesel,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Yalgoo Town Powerstation,F,WA,3555.0,987.0,797.0,0.0,797.0,0.81,Off,Diesel,,
2021,CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2486495.0,690693.0,247.0,1346.0,1593.0,0.0,On,Wind,,
2021,DELTA ELECTRICITY PTY LTD,Vales Point Power Station,F,NSW,24372427.0,6770119.0,6367344.0,98996.0,6466340.0,0.94,On,Black Coal,,
2021,DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Royalla Solar Farm,F,ACT,124964.0,34712.0,0.0,170.0,170.0,0.0,On,Solar,,
2021,DUNDONNELL WIND FARM PTY LTD,Dundonnell Wind Farm,F,VIC,2930100.0,813917.0,243.0,484.0,727.0,0.0,On,Wind,,
2021,EDIFY ENERGY PTY. LTD.,Gannawarra Solar Farm Pty Ltd,F,VIC,382474.0,106243.0,17.0,0.0,17.0,0.0,On,Solar,,
2021,EDIFY ENERGY PTY. LTD.,GESS ProjectCo Pty Ltd,F,VIC,0.0,0.0,15.0,2842.0,2857.0,0.0,On,Battery,,
2021,EDIFY ENERGY PTY. LTD.,Hamilton Solar Farm Pty Ltd,F,QLD,452015.0,125560.0,116.0,0.0,116.0,0.0,On,Solar,,
2021,EDIFY ENERGY PTY. LTD.,The Daydream Solar Farm Trust,F,QLD,1180951.0,328042.0,35.0,0.0,35.0,0.0,On,Solar,,
2021,EDIFY ENERGY PTY. LTD.,The Hayman Solar Farm Trust,F,QLD,375046.0,104180.0,17.0,0.0,17.0,0.0,On,Solar,,
2021,EDIFY ENERGY PTY. LTD.,Whitsunday Solar Farm Pty,F,QLD,394974.0,109715.0,115.0,0.0,115.0,0.0,On,Solar,,
2021,EDIFY ENERGY PTY. LTD.,Darlington Point Solar Farm Pty Ltd,F,NSW,756647.0,210180.0,151.0,0.0,151.0,0.0,On,Solar,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel Power Station,F,WA,6783.0,1884.0,10.0,2.0,12.0,0.01,On,Wind,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,471454.0,130959.0,52840.0,0.0,52840.0,0.4,On,Gas,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,3756282.0,1043412.0,956005.0,2183.0,958188.0,0.92,On,Black Coal,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel Power Station,F,WA,13734.0,3815.0,1780.0,0.0,1780.0,0.47,Off,Diesel,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,5243.0,1456.0,0.0,0.0,0.0,0.0,Off,Wind,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,48961.0,13600.0,1.0,6.0,7.0,0.0,Off,Wind,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel Power Station,F,WA,19277.0,5355.0,2449.0,0.0,2449.0,0.46,Off,Diesel,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,7503.0,2084.0,0.0,8.0,8.0,0.0,On,Wind,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,19560.0,5433.0,5283.0,0.0,5283.0,0.97,On,Gas,,
2021,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,2411711.0,669920.0,354786.0,595.0,355381.0,0.53,On,Gas,,
