dataflow,measure,region_type,region,frequency,year,obs_value,unit_measure,unit_mult,obs_status,obs_comment,state_name_full,state
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,7: Northern Territory,A: Annual,2022,2.6,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,7: Northern Territory,A: Annual,2023,2.7,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_24: Estimated resident population:Females aged 15-19 years (%),STE: States and Territories,3: Queensland,A: Annual,2019,6.0,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_24: Estimated resident population:Females aged 15-19 years (%),STE: States and Territories,3: Queensland,A: Annual,2020,5.9,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_24: Estimated resident population:Females aged 15-19 years (%),STE: States and Territories,3: Queensland,A: Annual,2021,5.9,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_24: Estimated resident population:Females aged 15-19 years (%),STE: States and Territories,3: Queensland,A: Annual,2022,6.0,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_24: Estimated resident population:Females aged 15-19 years (%),STE: States and Territories,3: Queensland,A: Annual,2023,6.1,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2019,3.4,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2020,3.5,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2021,3.5,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2022,3.4,PCT: Percent,,,,Australian Capital Territory,ACT
